@AAV.104850/ORF/1-2220/2220/+_10026
@AAV.104850/ORF/1-2220/2220/+_10056
@AAV.104850/ORF/1-2220/2220/+_10097
@AAV.104850/ORF/1-2220/2220/+_10136
@AAV.104850/ORF/1-2220/2220/+_10141
@AAV.104850/ORF/1-2220/2220/+_10114
@AAV.104850/ORF/1-2220/2220/+_10115
@AAV.104850/ORF/1-2220/2220/+_10116
@AAV.104850/ORF/1-2220/2220/+_10127
