@AAV.100791/ORF/1-2199/2199/+_10026
@AAV.100791/ORF/1-2199/2199/+_10029
@AAV.100791/ORF/1-2199/2199/+_10030
@AAV.100791/ORF/1-2199/2199/+_10031
@AAV.100791/ORF/1-2199/2199/+_10032
@AAV.100791/ORF/1-2199/2199/+_10062
@AAV.100791/ORF/1-2199/2199/+_10063
@AAV.100791/ORF/1-2199/2199/+_10085
@AAV.100791/ORF/1-2199/2199/+_10098
@AAV.100791/ORF/1-2199/2199/+_10099
@AAV.100791/ORF/1-2199/2199/+_10100
@AAV.100791/ORF/1-2199/2199/+_10101
@AAV.100791/ORF/1-2199/2199/+_10102
@AAV.100791/ORF/1-2199/2199/+_10143
@AAV.100791/ORF/1-2199/2199/+_10125
